method,seed,mean_success,ci95_success,mean_valid_invariance_retention,ci95_valid_invariance_retention,mean_invalid_invariance_rejection,ci95_invalid_invariance_rejection,mean_action_equivalence_f1,ci95_action_equivalence_f1,mean_false_invariance_acceptance,ci95_false_invariance_acceptance,mean_contact_frame_violation,ci95_contact_frame_violation,mean_affordance_violation,ci95_affordance_violation,mean_temporal_order_violation,ci95_temporal_order_violation,mean_unsafe_action,ci95_unsafe_action,mean_calibration_ece,ci95_calibration_ece,mean_intervention_cost,ci95_intervention_cost,mean_observation_equivalence_score,ci95_observation_equivalence_score,mean_action_equivalence_score,ci95_action_equivalence_score,mean_physical_validity_margin,ci95_physical_validity_margin,mean_over_invariance_rate,ci95_over_invariance_rate,mean_regret_to_oracle,ci95_regret_to_oracle,mean_utility,ci95_utility,groups
proposed_physical_invariance_audit_v4,4,0.73006,0.015513,0.589881,0.016422,0.732143,0.014812,0.616667,0.015878,0.068155,0.008957,0.02619,0.005357,0.024107,0.005133,0.017262,0.004597,0.035417,0.006751,0.05744,0.008471,0.193452,0.013537,0.609226,0.017107,0.610417,0.016731,0.718452,0.015044,0.058333,0.008245,0.16994,0.01561,0.813923,0.0147,560
proposed_physical_invariance_audit_v4,5,0.73125,0.015078,0.59375,0.016533,0.733929,0.015122,0.602679,0.016886,0.06369,0.008425,0.033929,0.006201,0.024702,0.005373,0.020536,0.004616,0.03006,0.005803,0.0625,0.008116,0.19256,0.013561,0.641369,0.016556,0.609226,0.017047,0.712202,0.015461,0.061905,0.008106,0.166964,0.015034,0.815899,0.013923,560
proposed_physical_invariance_audit_v4,6,0.73631,0.014399,0.577976,0.016936,0.730952,0.015717,0.618155,0.016385,0.071726,0.009292,0.037202,0.00653,0.023214,0.005259,0.01875,0.004668,0.034524,0.006553,0.066964,0.008392,0.201488,0.013244,0.63006,0.016739,0.595833,0.016481,0.714881,0.015852,0.048214,0.007771,0.168452,0.014561,0.819805,0.013188,560
proposed_physical_invariance_audit_v4,7,0.741369,0.014591,0.574405,0.017284,0.747917,0.014816,0.632738,0.01574,0.0625,0.008486,0.031845,0.006194,0.028571,0.005707,0.017857,0.004506,0.035714,0.006403,0.059226,0.007969,0.193155,0.013478,0.638988,0.015309,0.614881,0.016451,0.710714,0.016253,0.051488,0.008038,0.170833,0.014369,0.824765,0.013244,560
proposed_physical_invariance_audit_v4,8,0.740774,0.014305,0.577976,0.016815,0.743155,0.014898,0.604762,0.016969,0.072619,0.008925,0.034524,0.006123,0.025298,0.00548,0.014583,0.00399,0.033631,0.006294,0.058333,0.008161,0.1875,0.012993,0.631548,0.01615,0.620833,0.016448,0.706548,0.015447,0.053571,0.008219,0.170536,0.013923,0.822351,0.013085,560
proposed_physical_invariance_audit_v4,9,0.75744,0.015346,0.575893,0.016502,0.725595,0.015861,0.631548,0.016628,0.063988,0.00847,0.02619,0.005482,0.027083,0.005607,0.017857,0.004655,0.030655,0.006069,0.052083,0.007796,0.195536,0.012874,0.619643,0.016258,0.610714,0.016523,0.712202,0.015527,0.052976,0.008245,0.155357,0.014856,0.836494,0.013757,560
test_time_augmentation_voting,0,0.600595,0.016243,0.534226,0.016835,0.346429,0.015737,0.423214,0.016973,0.205952,0.015123,0.082143,0.009268,0.084524,0.009414,0.058333,0.008449,0.09881,0.011034,0.119345,0.011762,0.159226,0.012575,0.604167,0.01665,0.304167,0.014849,0.225595,0.014514,0.233631,0.015498,0.272321,0.017747,0.590225,0.017267,560
test_time_augmentation_voting,1,0.59375,0.01698,0.51756,0.01717,0.351786,0.016873,0.419345,0.01643,0.205655,0.016661,0.091667,0.010123,0.079167,0.009444,0.054762,0.00791,0.109226,0.011537,0.122024,0.011106,0.169345,0.012287,0.599405,0.01703,0.327679,0.016986,0.238095,0.014291,0.225,0.015833,0.290476,0.017967,0.580679,0.018174,560
test_time_augmentation_voting,2,0.601488,0.017353,0.528571,0.016343,0.345536,0.016493,0.427083,0.01696,0.199107,0.015312,0.093155,0.010478,0.078571,0.009333,0.054167,0.007852,0.108631,0.010878,0.114881,0.010859,0.16875,0.012453,0.610417,0.017605,0.314881,0.016129,0.243452,0.014714,0.23244,0.016283,0.265774,0.018156,0.591089,0.018488,560
test_time_augmentation_voting,3,0.597917,0.017019,0.54256,0.016436,0.371429,0.01648,0.400893,0.017369,0.203869,0.014989,0.094345,0.010404,0.080655,0.010211,0.054167,0.008066,0.097917,0.010141,0.116369,0.01067,0.17619,0.012525,0.620536,0.016862,0.300893,0.01603,0.23244,0.014974,0.239881,0.016264,0.269048,0.018635,0.587079,0.0182,560
test_time_augmentation_voting,4,0.588095,0.016714,0.545536,0.017488,0.350595,0.015557,0.416369,0.016841,0.200298,0.015361,0.091369,0.01039,0.074702,0.008979,0.055357,0.008179,0.11369,0.011492,0.118155,0.011758,0.170536,0.012559,0.618155,0.016612,0.319643,0.015777,0.254167,0.01551,0.214881,0.015394,0.293155,0.018596,0.577027,0.017812,560
test_time_augmentation_voting,5,0.585714,0.017141,0.533929,0.01697,0.347321,0.016317,0.425595,0.017284,0.199107,0.015065,0.097619,0.010764,0.074107,0.009125,0.059821,0.008637,0.104762,0.011059,0.11875,0.011302,0.16131,0.012322,0.611607,0.017081,0.310119,0.015482,0.23631,0.015047,0.227679,0.01618,0.29494,0.018234,0.574183,0.018353,560
test_time_augmentation_voting,6,0.578571,0.016218,0.526488,0.017031,0.355655,0.016668,0.431548,0.016856,0.196429,0.014656,0.095833,0.010716,0.082738,0.009908,0.055655,0.007444,0.108333,0.010303,0.116964,0.011518,0.174107,0.012763,0.61369,0.015876,0.31756,0.015045,0.246131,0.014928,0.233333,0.016662,0.303869,0.018292,0.567525,0.017604,560
test_time_augmentation_voting,7,0.582738,0.017122,0.552381,0.017029,0.357738,0.01584,0.428571,0.016792,0.208036,0.015028,0.095536,0.009994,0.079464,0.009588,0.052976,0.007185,0.108631,0.011002,0.109821,0.010952,0.168155,0.012644,0.605655,0.016431,0.31756,0.016493,0.241071,0.015496,0.225298,0.016198,0.303869,0.018569,0.571497,0.018224,560
test_time_augmentation_voting,8,0.606845,0.016971,0.540476,0.017929,0.358333,0.016174,0.413095,0.016156,0.202976,0.015263,0.08631,0.009697,0.08869,0.009221,0.045536,0.007084,0.105952,0.010887,0.120536,0.012052,0.172917,0.012579,0.622619,0.015501,0.304762,0.015287,0.23631,0.014842,0.235119,0.016027,0.282738,0.018244,0.595179,0.017942,560
test_time_augmentation_voting,9,0.603274,0.016901,0.541667,0.017271,0.368452,0.016464,0.404464,0.017564,0.207738,0.015247,0.09375,0.010277,0.077083,0.009291,0.049107,0.007348,0.112202,0.011839,0.11994,0.011,0.166369,0.012644,0.607738,0.016534,0.310417,0.015027,0.239583,0.014768,0.227679,0.016138,0.287202,0.018482,0.59119,0.01788,560
